Country/Territory,IMF[1][13],World Bank[14],United Nations[15],Forecast,Year,Estimate
World,115494312,2025,105435540,2023,100834796.0,2022.0
United States,30337162,2025,27360935,2023,25744100.0,2022.0
China,19534894,2025,17794782,2023,17963170.0,2022.0
Germany,4921563,2025,4456081,2023,4076923.0,2022.0
Japan,4389326,2025,4212945,2023,4232173.0,2022.0
India,4271922,2025,3549919,2023,3465541.0,2022.0
United Kingdom,3730261,2025,3340032,2023,3089072.0,2022.0
France,3283429,2025,3030904,2023,2775316.0,2022.0
Italy,2459597,2025,2254851,2023,2046952.0,2022.0
Canada,2330308,2025,2140086,2023,2137939.0,2022.0
Brazil,2307162,2025,2173666,2023,1920095.0,2022.0
Russia,2195708,2025,2021421,2023,2240422.0,2022.0
South Korea,1947133,2025,1712793,2023,1673916.0,2022.0
Australia,1881140,2025,1723827,2023,1776577.0,2022.0
Spain,1827576,2025,1580695,2023,1415874.0,2022.0
Mexico,1817818,2025,1788887,2023,1463323.0,2022.0
Indonesia,1492618,2025,1371171,2023,1319100.0,2022.0
Turkey,1455413,2025,1108022,2023,907118.0,2022.0
Netherlands,1272960,2025,1118125,2023,1008027.0,2022.0
Saudi Arabia,1136580,2025,1067583,2023,1108148.0,2022.0
Switzerland,999604,2025,884940,2023,818426.0,2022.0
Poland,915451,2025,811229,2023,688125.0,2022.0
Taiwan,814438,2025,—,—,,
Belgium,689364,2025,632217,2023,582643.0,2022.0
Sweden,638780,2025,593268,2023,591188.0,2022.0
Argentina,604201,2025,640591,2023,631133.0,2022.0
Ireland,587225,2025,545629,2023,532415.0,2022.0
United Arab Emirates,568567,2025,504173,2023,507063.0,2022.0
Singapore,561725,2025,501428,2023,466788.0,2022.0
Austria,559218,2025,516034,2023,470302.0,2022.0
Israel,550905,2025,509902,2023,525002.0,2022.0
Thailand,545341,2025,514945,2023,495340.0,2022.0
Philippines,507670,2025,437146,2023,404284.0,2022.0
Vietnam,506600,2025,429717,2023,408802.0,2022.0
Norway,503466,2025,485513,2023,579422.0,2022.0
Malaysia,488250,2025,399649,2023,406305.0,2022.0
Bangladesh,481856,2025,437415,2023,432677.0,2022.0
Iran,478100,2025,401505,2023,398047.0,2022.0
Denmark,432228,2025,404199,2023,400167.0,2022.0
Hong Kong,422057,2025,382055,2023,359838.0,2022.0
Colombia,419331,2025,363540,2023,343939.0,2022.0
South Africa,418046,2025,377782,2023,405270.0,2022.0
Romania,406202,2025,351003,2023,300690.0,2022.0
Pakistan,393100,2025,338368,2023,326796.0,2022.0
Chile,362240,2025,335533,2023,300686.0,2022.0
Czech Republic,360233,2025,330858,2023,290527.0,2022.0
Egypt,345800,2025,395926,2023,409306.0,2022.0
Finland,319989,2025,300187,2023,282511.0,2022.0
Portugal,319934,2025,287080,2023,254849.0,2022.0
Hungary,312619,2025,212389,2023,177337.0,2022.0
Kazakhstan,306629,2025,261421,2023,225496.0,2022.0
Peru,294898,2025,267603,2023,242631.0,2022.0
Iraq,270874,2025,250843,2023,264182.0,2022.0
Greece,265171,2025,238206,2023,217285.0,2022.0
Algeria,264270,2025,239899,2023,191912.0,2022.0
New Zealand,262924,2025,253466,2023,245845.0,2022.0
Qatar,240217,2025,235770,2022,237101.0,2022.0
Ethiopia,238800,2025,163698,2023,118971.0,2022.0
Nigeria,199720,2025,362815,2023,475058.0,2022.0
Ukraine,189827,2025,178757,2023,160502.0,2022.0
Morocco,168597,2025,141109,2023,130912.0,2022.0
Kuwait,161950,2025,161772,2023,175363.0,2022.0
Cuba,—,—,147193,2022,,
Slovakia,142617,2024,132794,2023,115304.0,2022.0
Dominican Republic,126238,2024,121444,2023,113537.0,2022.0
Uzbekistan,125511,2024,90889,2023,80391.0,2022.0
Bulgaria,123425,2024,101584,2023,90213.0,2022.0
Ecuador,121425,2024,118845,2023,115049.0,2022.0
Puerto Rico,120971,2024,117902,2023,113434.0,2022.0
Kenya,116321,2024,107441,2023,113419.0,2022.0
Angola,113286,2024,84773,2023,113304.0,2022.0
Guatemala,112369,2024,102050,2023,95003.0,2022.0
Oman,110993,2024,108192,2023,114666.0,2022.0
Venezuela,106327,2024,—,129313,2022.0,
Costa Rica,95149,2024,86498,2023,68380.0,2022.0
Luxembourg,91210,2024,85755,2023,81530.0,2022.0
